,statement,source,year,veracity
137_14,"Harry Reid has voted ""to give illegals Social Security benefits even for the time they were here illegally.""",Sharron Angle,"stated on September 14, 2010 in a campaign commercial:",barely-true
137_15,"""Taxes went down under Jerry Brown.""",Jerry Brown,"stated on September 14, 2010 in a campaign ad:",mostly-true
137_16,"Taxpayers pay $18,000 a month for House Speaker Nancy Pelosi's district office in downtown San Francisco.",John Dennis,"stated on September 14, 2010 in a campaign commercial:",true
137_17,"""Over 10 years, (extending tax cuts for the wealthy) would add less to the deficit than Obama added with the stimulus in one year.""",George Will,"stated on September 12, 2010 in a roundtable discussion on ABC's ""This Week with Christiane Amanpour'':",barely-true
137_18,"John Boehner has called for ""repealing the rest of the stimulus, which would raise taxes on 110 million middle class people.""",Austan Goolsbee,"stated on September 12, 2010 in ABC's ""This Week"":",false
137_19,"Extending current tax rates would ""average more than $100,000 a year to millionaires and even billionaires.""",Austan Goolsbee,"stated on September 12, 2010 in an interview on ""This Week."":",mostly-true
137_20,Says John Boehner changed his position on extending Bush tax cuts.,Robert Gibbs,"stated on September 12, 2010 in a White House news release:",barely-true
137_21,"John Boehner wants to reopen a tax loophole ""that actually rewarded corporations for shipping jobs and profits overseas.""",Barack Obama,"stated on September 6, 2010 in a speech on Labor Day:",half-true
137_22,"""There have been more terrorist attacks on U.S. soil by ... Muslims in Obama's first 18 months in office than in the six years under Bush after he invaded Iraq.""",Ann Coulter,"stated on September 8, 2010 in a column:",half-true
137_23,"Proposed tax changes are a ""handout"" to BP.",National Taxpayers Union,"stated on September 2, 2010 in a television commercial:",half-true
137_24,"""When these same Republicans –- including Mr. Boehner –- were in charge, the number of earmarks and pet projects went up, not down.""",Barack Obama,"stated on September 8, 2010 in a speech in Cleveland, Ohio.:",mostly-true
137_25,"The Richardson-Denish administration ""gave"" 50,000 driver's licenses to illegal immigrants in New Mexico.",Susana Martinez,"stated on August 31, 2010 in a campaign ad:",barely-true
137_26,"""On (Rob Portman's) watch as Bush's trade czar, our deficit with China exploded"" and ""as Bush's budget chief, Portman oversaw a spending spree that doubled the deficit.""",Lee Fisher,"stated on September 7, 2010 in a campaign commercial:",half-true
137_27,"""Our law enforcement agencies have found bodies in the desert, either buried or just lying out there, that have been beheaded.""",Jan Brewer,"stated on June 25, 2010 in a TV interview:",pants-fire
137_28,"John Boehner said the jobs of ""teachers and nurses and police officers and firefighters"" are ""'government jobs' that weren't worth saving.""",Barack Obama,"stated on September 5, 2010 in a speech on Labor Day:",barely-true
137_29,"""The president's party always gets shellacked in midterms. It's only twice, 1934 and 2002, that the president's party actually gained in both the House and the Senate.""",Mary Jordan,"stated on September 5, 2010 in a roundtable discussion on ABC's ""This Week with Christiane Amanpour"":",mostly-true
138_0,"Likens Obama's predicament to 1982, saying, ""when Reagan just started out, (unemployment was at) exactly the same point. He was two years into his term. The unemployment was well over 10 percent, and it did come out of it.""",Mary Jordan,"stated on September 5, 2010 in a roundtable discussion on ABC's ""This Week with Christiane Amanpour"":",mostly-true
138_1,"""I asked (then-Secretary of State Condoleezza Rice) how many people had died and she did not know the answer to that question.""",Barbara  Boxer,"stated on August 31, 2010 in an editorial board interview:",pants-fire
138_2,"""Buck wants to privatize Social Security.""",Michael Bennet,"stated on August 25, 2010 in a campaign ad:",half-true
138_3,"John Boozman supports ""privatizing Social Security""",Blanche Lincoln,"stated on August 19, 2010 in a TV ad:",barely-true
138_4,"Dan Webster supports ""privatization of Social Security, deep cuts in Social Security.""",Debbie Wasserman Schultz,"stated on August 24, 2010 in an interview on CNN:",barely-true
138_5,"""The states that actually have lots of teachers in teacher unions tend to be the states that have done the best in terms of academic success in this country.""",Randi Weingarten,"stated on August 29, 2010 in ABC's ""This Week"":",half-true
138_6,"Sharron Angle ""would eliminate the Department of Education.""",Harry Reid,"stated on August 23, 2010 in a campaign commercial:",true
138_7,"""Pat Toomey thinks corporations shouldn't pay any taxes.""",Joe  Sestak,"stated on August 31, 2010 in a campaign commercial:",mostly-true
138_8,"McDonald's in England only sells organic milk and free-range eggs, which provides more nutritious offerings than in the U.S.",Jamie Oliver,"stated on August 29, 2010 in a roundtable discussion on ABC's ""This Week with Christiane Amanpour."":",half-true
138_9,"""Forty-five percent of those who've been unemployed, they've been unemployed for six months or longer.""",Donna Brazile,"stated on August 29, 2010 in a roundtable discussion on ABC's ""This Week with Christiane Amanpour"":",mostly-true
138_10,"""In this country, we have a 25 percent dropout rate.""",Arne Duncan,"stated on August 29, 2010 in an interview on ABC's ""This Week with Christiane Amanpour"":",half-true
138_11,"""The Obama Health and Human Services Department is planning to compile a federal health record on all U.S. citizens by 2014,"" including ""each individual’s Body Mass Index.""",Ann Marie  Buerkle,"stated on August 10, 2010 in a page on her campaign website:",false
138_12,"""The federal government is now on track"" for the second-largest budget deficit ""in 65 years.""",Glenn Beck,"stated on August 25, 2010 in comments on his TV show:",true
138_13,"""The government is trying to now close the Lincoln Memorial for any kind of large gatherings.""",Glenn Beck,"stated on June 28, 2010 in comments on his radio program:",pants-fire
138_14,"Republicans ""don't think it's a good idea"" to make the child care tax credit ""stronger.""",Barack Obama,"stated on August 18, 2010 in a response to a question during an appearance in Columbus, Ohio.:",barely-true
138_15,President Obama is a Muslim.,18% of the American public,"stated on August 19, 2010 in a Pew Research Center poll:",pants-fire
138_16,"""The seed of Muslim is passed through the father.""",Franklin Graham,"stated on August 19, 2010 in an interview on CNN:",barely-true
138_17,"""There is already a mosque four blocks away.""",Michael Bloomberg,"stated on August 24, 2010 in a speech:",true
138_18,"""Obama’s stimulus, passed in his first month in office, will cost more than the entire Iraq War.""",Mark Tapscott,"stated on August 23, 2010 in an opinion column in ""The Washington Examiner"":",barely-true
138_19,On birthright citizenship for illegal immigrants.,Harry Reid,"stated on August 23, 2010 in his Senate re-election campaign effort. :",full-flop
138_20,"""Joe Sestak ... even wants to bring back the death tax, letting the IRS take half of your savings when you die.""",Pat Toomey,"stated on July 14, 2010 in a television commercial:",barely-true
138_21,"""This is not a mosque. It's a cultural center that has a prayer area.""",Al Hunt,"stated on August 22, 2010 in ABC's ""This Week"":",false
138_22,"Under the new health care law, ""all real estate transactions will be subject to a 3.8% Sales Tax""",Chain email,"stated on August 2, 2010 in a chain e-mail:",pants-fire
138_23,"""The Republicans have 2 percent of the Muslim vote.''",Tamara Holder,"stated on August 18, 2010 in comments on the Hannity show.:",mostly-true
138_24,"A New York imam wants to ""have a mosque at Ground Zero.''",Rick Lazio,"stated on August 17, 2010 in Fox News ""Hannity"" program.:",barely-true
138_25,"""U.S. taxpayers are being forced to fund Feisal Abdul Rauf’s trip to the Middle East.""",Ileana Ros-Lehtinen,"stated on August 10, 2010 in a press release.:",true
138_26,Republicans tried to block the deficit commission.,Tim Kaine,"stated on August 15, 2010 in a segment of CBS' ''Face The Nation.'':",half-true
138_27,"""Some Republican leaders in Congress"" are ""pushing to make privatizing Social Security a key part of their legislative agenda if they win a majority in Congress this fall.""",Barack Obama,"stated on August 14, 2010 in his weekly address:",barely-true
138_28,"The United States is ""number 14, number 15"" in college graduation rates, and ""we're leading the world in high school dropout rates.""",Laura Tyson,"stated on August 15, 2010 in an interview on ABC's ''This Week with Christiane Amanpour.'':",half-true
138_29,"""In 1935, more than 50% of the elderly population lived in poverty. Today that poverty rate stands officially at 9.4%.""",Eddie Bernice  Johnson,"stated on August 10, 2010 in a speech on the House floor.:",true
139_0,"""Unemployment for those with college educations is now 4.5 percent. Unemployment for those with more than a college education, below 4 percent.""",Laura Tyson,"stated on August 15, 2010 in an interview on ABC's ""This Week with Christiane Amanpour'':",mostly-true
139_1,"""More than three-quarters of the oil is gone.""",Carol Browner,"stated on August 4, 2010 in NBC's ""Today Show."":",half-true
